,stand_alone_voltage_pp
213,(131614.2610644757+0j)
214,(131614.2610644757+0j)
215,(131614.2610644757+0j)
216,(131614.61433901472+0j)
217,(131614.61433901472+0j)
218,(131614.61433901472+0j)
219,(131614.61433901472+0j)
220,(131614.61433901472+0j)
221,(131620.01369042366+0j)
222,(131620.01369042366+0j)
223,(131620.01369042366+0j)
224,(131620.01369042366+0j)
225,(131620.01369042366+0j)
226,(131625.43163097286+0j)
227,(131625.43163097286+0j)
228,(131625.43163097286+0j)
229,(131625.43163097286+0j)
230,(131625.43163097286+0j)
231,(131621.73588601119+0j)
232,(131621.73588601119+0j)
233,(131621.73588601119+0j)
234,(131621.73588601119+0j)
235,(131621.73588601119+0j)
236,(131620.23184881257+0j)
237,(131620.23184881257+0j)
238,(131620.23184881257+0j)
239,(131620.23184881257+0j)
240,(131620.23184881257+0j)
241,(131616.09860605+0j)
242,(131616.09860605+0j)
243,(131616.09860605+0j)
244,(131616.09860605+0j)
245,(131616.09860605+0j)
246,(131624.20782354154+0j)
247,(131624.20782354154+0j)
248,(131624.20782354154+0j)
249,(131624.20782354154+0j)
250,(131624.20782354154+0j)
251,(131621.9586567006+0j)
252,(131621.9586567006+0j)
253,(131621.9586567006+0j)
254,(131621.9586567006+0j)
255,(131621.9586567006+0j)
256,(131624.4165724945+0j)
257,(131624.4165724945+0j)
258,(131624.4165724945+0j)
259,(131624.4165724945+0j)
260,(131624.4165724945+0j)
261,(131628.08477238647+0j)
262,(131628.08477238647+0j)
263,(131628.08477238647+0j)
264,(131628.08477238647+0j)
265,(131628.08477238647+0j)
266,(131631.1153092601+0j)
267,(131631.1153092601+0j)
268,(131631.1153092601+0j)
269,(131631.1153092601+0j)
270,(131631.1153092601+0j)
271,(131628.2654117965+0j)
272,(131628.2654117965+0j)
273,(131628.2654117965+0j)
274,(131628.2654117965+0j)
275,(131628.2654117965+0j)
276,(131621.2314654451+0j)
277,(131621.2314654451+0j)
278,(131621.2314654451+0j)
279,(131621.2314654451+0j)
280,(131621.2314654451+0j)
281,(131626.48009247708+0j)
282,(131626.48009247708+0j)
283,(131626.48009247708+0j)
284,(131626.48009247708+0j)
285,(131626.48009247708+0j)
286,(131633.83138837453+0j)
287,(131633.83138837453+0j)
288,(131633.83138837453+0j)
289,(131633.83138837453+0j)
290,(131633.83138837453+0j)
291,(131629.66580225105+0j)
292,(131629.66580225105+0j)
293,(131629.66580225105+0j)
294,(131629.66580225105+0j)
295,(131629.66580225105+0j)
296,(131631.6872156149+0j)
297,(131631.6872156149+0j)
298,(131631.6872156149+0j)
299,(131631.6872156149+0j)
300,(131631.6872156149+0j)
301,(131633.39512715203+0j)
302,(131633.39512715203+0j)
303,(131633.39512715203+0j)
304,(131633.39512715203+0j)
305,(131633.39512715203+0j)
306,(131638.46541142912+0j)
307,(131638.46541142912+0j)
308,(131638.46541142912+0j)
309,(131638.46541142912+0j)
310,(131638.46541142912+0j)
311,(131637.45843736792+0j)
312,(131637.45843736792+0j)
313,(131637.45843736792+0j)
314,(131637.45843736792+0j)
315,(131637.45843736792+0j)
316,(131638.39921494626+0j)
317,(131638.39921494626+0j)
318,(131638.39921494626+0j)
319,(131638.39921494626+0j)
320,(131638.39921494626+0j)
321,(131650.03921822045+0j)
322,(131650.03921822045+0j)
323,(131650.03921822045+0j)
324,(131650.03921822045+0j)
325,(131650.03921822045+0j)
326,(131651.71939069894+0j)
327,(131651.71939069894+0j)
328,(131651.71939069894+0j)
329,(131651.71939069894+0j)
330,(131651.71939069894+0j)
331,(131647.60095859456+0j)
332,(131647.60095859456+0j)
333,(131647.60095859456+0j)
334,(131647.60095859456+0j)
335,(131647.60095859456+0j)
336,(131642.8189998797+0j)
337,(131642.8189998797+0j)
338,(131642.8189998797+0j)
339,(131642.8189998797+0j)
340,(131642.8189998797+0j)
341,(131647.67935145894+0j)
342,(131647.67935145894+0j)
343,(131647.67935145894+0j)
344,(131647.67935145894+0j)
345,(131647.67935145894+0j)
346,(131638.3301432065+0j)
347,(131638.3301432065+0j)
348,(131638.3301432065+0j)
349,(131638.3301432065+0j)
350,(131638.3301432065+0j)
351,(131648.74608425907+0j)
352,(131648.74608425907+0j)
353,(131648.74608425907+0j)
354,(131648.74608425907+0j)
355,(131648.74608425907+0j)
356,(131658.06857707875+0j)
357,(131658.06857707875+0j)
358,(131658.06857707875+0j)
359,(131658.06857707875+0j)
360,(131658.06857707875+0j)
361,(131653.582133096+0j)
362,(131653.582133096+0j)
363,(131653.582133096+0j)
364,(131653.582133096+0j)
365,(131653.582133096+0j)
366,(131659.06910509805+0j)
367,(131659.06910509805+0j)
368,(131659.06910509805+0j)
369,(131659.06910509805+0j)
370,(131659.06910509805+0j)
371,(131645.95969920332+0j)
372,(131645.95969920332+0j)
373,(131645.95969920332+0j)
374,(131645.95969920332+0j)
375,(131645.95969920332+0j)
376,(131642.63408545023+0j)
377,(131642.63408545023+0j)
